x,y,z,id
0.14,-0.06,1.12,5
0.12,-0.04,1.09,5
0.11,-0.04,1.04,5
0.1,-0.08,0.94,5
0.1,-0.1,0.91,5
0.09,-0.1,0.95,5
0.1,-0.08,1.0,6
0.1,-0.04,1.0,6
0.1,-0.02,1.0,6
0.1,-0.01,1.03,6
0.09,-0.02,1.04,6
0.08,-0.07,1.08,6
0.08,-0.09,1.11,6
0.1,-0.06,1.05,6
0.1,-0.04,0.97,6
0.13,-0.01,0.81,6
0.13,-0.0,0.79,6
0.1,-0.02,0.99,6
0.05,-0.0,1.19,6
-0.08,0.34,1.6,6
-0.17,1.13,2.07,6
-0.17,1.47,2.3,6
-0.19,1.6,1.99,6
-0.26,1.26,1.33,6
-0.52,-0.16,-0.1,6
-0.77,-1.17,-0.56,6
-1.01,-3.39,-0.87,6
-0.81,-4.0,-0.85,6
-0.64,-4.0,-0.51,6
-0.98,-3.56,-0.17,6
-2.15,-1.06,0.66,6
-2.91,0.5,1.12,6
-3.61,3.52,2.69,6
-2.86,4.0,3.67,6
-0.63,4.0,4.0,6
-0.39,3.82,3.42,6
-1.61,1.53,0.71,6
-2.32,-0.17,-0.22,6
-2.95,-3.26,-0.88,6
-2.43,-4.0,-0.95,6
-0.88,-4.0,-0.81,6
-0.81,-3.93,-0.53,6
-2.22,-1.91,0.4,6
-3.22,-0.09,0.91,6
-4.0,3.3,2.32,6
-3.21,4.0,3.34,6
-0.66,4.0,4.0,6
-0.36,3.9,3.71,6
-1.53,1.97,1.44,6
-1.99,0.52,0.6,6
-1.79,-1.64,-0.08,6
-0.76,-2.88,-0.2,6
-0.33,-3.14,-0.17,6
-0.04,-2.63,0.15,6
-0.08,-1.91,0.41,6
-0.18,-0.38,0.83,6
-0.18,0.25,1.02,6
-0.03,1.13,1.47,6
0.08,1.34,1.68,6
0.19,1.19,1.76,6
0.14,0.83,1.55,6
0.04,-0.02,1.0,6
0.03,-0.34,0.83,6
0.08,-0.68,0.69,6
0.1,-0.72,0.68,6
0.13,-0.5,0.78,6
0.14,-0.28,0.88,6
0.16,0.1,1.03,6
0.17,0.2,1.06,6
0.17,0.22,1.06,6
0.16,0.14,1.06,6
0.14,-0.09,1.1,6
0.13,-0.16,1.09,6
0.13,-0.19,1.01,6
0.14,-0.16,0.95,6
0.14,-0.07,0.87,6
0.14,-0.04,0.89,6
0.14,-0.04,1.0,6
0.13,-0.05,1.05,6
0.13,-0.06,1.09,6
0.13,-0.06,1.07,6
0.14,-0.07,1.0,6
0.14,-0.08,0.98,6
0.15,-0.07,0.96,6
0.14,-0.06,0.98,6
0.14,-0.06,0.99,6
0.13,-0.07,1.0,6
0.13,-0.08,1.0,6
0.12,-0.07,1.03,6
0.13,-0.07,1.04,6
0.13,-0.07,1.01,6
0.13,-0.07,1.0,6
0.14,-0.07,0.97,6
0.14,-0.07,0.97,6
0.13,-0.08,0.98,6
0.13,-0.07,1.01,6
0.13,-0.07,1.05,6
0.13,-0.07,1.05,6
0.13,-0.06,1.02,6
0.13,-0.05,1.0,6
0.13,-0.05,0.96,6
0.13,-0.05,0.97,6
0.13,-0.08,1.0,6
0.13,-0.09,1.01,6
0.13,-0.13,1.01,6
0.13,-0.13,1.01,6
0.13,-0.07,0.97,7
0.13,-0.07,0.97,7
0.12,-0.11,1.01,7
0.12,-0.13,1.05,7
0.13,-0.09,1.11,7
0.13,-0.03,1.07,7
0.13,-0.04,1.01,7
0.13,-0.11,0.89,7
0.12,-0.14,0.88,7
0.11,-0.17,0.99,7
0.1,-0.1,1.08,7
0.07,0.21,1.27,7
0.06,0.41,1.37,7
0.07,0.69,1.54,7
0.08,0.67,1.59,7
0.09,0.22,1.42,7
0.07,-0.1,1.1,7
-0.08,-0.83,0.28,7
-0.15,-1.24,-0.05,7
-0.12,-2.02,-0.39,7
-0.16,-2.35,-0.38,7
-0.36,-2.75,-0.15,7
-0.55,-2.56,-0.05,7
-1.37,-0.88,0.22,7
-2.27,0.6,0.57,7
-3.71,3.61,2.6,7
-3.17,4.0,3.81,7
-0.84,4.0,4.0,7
-0.86,3.49,3.89,7
-2.9,0.98,1.4,7
-3.77,-0.29,-0.12,7
-4.0,-2.71,-1.71,7
-3.47,-3.77,-1.99,7
